footballclub	points	revenue	country
Real Madrid CF	141	620	Spain
Club Atlético de Madrid	119	229	Spain
FC Barcelona	118	620	Spain
FC Bayern München	116	592	Germany
Juventus	112	341	Italy
Paris Saint-Germain	102	521	France
Sevilla FC	102	100	Spain
Manchester City FC	92	525	England
Borussia Dortmund	85	284	Germany
SL Benfica	80	130	Portugal
Arsenal FC	79	469	England
FC Porto	78	85	Portugal
SSC Napoli	76	307	Italy
Manchester United FC	74	689	England
Chelsea FC	73	447	England
FC Shakhtar Donetsk	72	85	Ukraine
FC Zenit	71	88	Russia
Bayer 04 Leverkusen	66	130	Germany
FC Schalke 04	62	225	Germany
FC Basel 1893	60	40	Switzerland
Tottenham Hotspur FC	59	280	England
FC Dynamo Kyiv	57	55	Ukraine
AS Monaco FC	57	117	France
Olympiacos FC	54	90	Greece
ACF Fiorentina	54	144	Italy
AFC Ajax	54	118	The Netherlands
